epoch,lr-AdamW,step,train/loss_step
,0.001,0,
0,,19,0.16416537761688232
0,,39,0.01930745504796505
0,,59,0.016615793108940125
0,,79,0.07753153890371323
0,,99,0.041605908423662186
0,,119,0.04478577524423599
0,,139,0.0718248039484024
0,,159,0.031927887350320816
0,,179,0.01886158622801304
0,,199,0.022591354325413704
0,,219,0.06366127729415894
0,,239,0.052300479263067245
0,,259,0.022252392023801804
0,,279,0.029605232179164886
0,,299,0.017141174525022507
0,,319,0.10041563212871552
0,,339,0.021015692502260208
0,,359,0.06313417106866837
0,,379,0.052101071923971176
0,,399,0.028484875336289406
0,,419,0.020956994965672493
0,,439,0.029639659449458122
0,,459,0.029529089108109474
