epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,0.7585799098014832,,,
0,,39,,0.6822418570518494,,,
0,,45,,,0.6923924088478088,0.14143534004688263,0.057775020599365234
0,,45,1.8507564067840576,,,,
,0.001,46,,,,,
1,,59,,0.7805199027061462,,,
1,,79,,0.7060692310333252,,,
1,,91,,,0.6496821045875549,0.12369371950626373,0.05486109480261803
1,,91,0.6973978877067566,,,,
,0.001,92,,,,,
2,,99,,0.6352493762969971,,,
2,,119,,0.6279119253158569,,,
2,,137,,,0.6098988056182861,0.1239025890827179,0.06170351058244705
2,,137,0.6368264555931091,,,,
,0.001,138,,,,,
3,,139,,0.6415432095527649,,,
3,,159,,0.6365190744400024,,,
3,,179,,0.5443700551986694,,,
3,,183,,,0.5891028046607971,0.12029280513525009,0.06257136911153793
3,,183,0.6039239764213562,,,,
,0.001,184,,,,,
4,,199,,0.58420729637146,,,
4,,219,,0.5866395235061646,,,
4,,229,,,0.6154118776321411,0.13004164397716522,0.06575064361095428
4,,229,0.5922296047210693,,,,
,0.001,230,,,,,
5,,239,,0.5884158611297607,,,
5,,259,,0.6124966144561768,,,
5,,275,,,0.5785625576972961,0.12263740599155426,0.061845045536756516
5,,275,0.5867773294448853,,,,
,0.001,276,,,,,
6,,279,,0.5643316507339478,,,
6,,299,,0.5596728920936584,,,
6,,319,,0.5662170052528381,,,
6,,321,,,0.5771493315696716,0.12056507915258408,0.060955461114645004
6,,321,0.581758975982666,,,,
,0.001,322,,,,,
7,,339,,0.5427190065383911,,,
7,,359,,0.5816707015037537,,,
7,,367,,,0.5792936682701111,0.1305161416530609,0.07018929719924927
7,,367,0.572594404220581,,,,
,0.001,368,,,,,
8,,379,,0.5095769166946411,,,
8,,399,,0.5650153756141663,,,
8,,413,,,0.5552263855934143,0.13241629302501678,0.06982830911874771
8,,413,0.5663546323776245,,,,
,0.001,414,,,,,
9,,419,,0.5322031378746033,,,
9,,439,,0.5889070630073547,,,
9,,459,,0.550347626209259,,,
9,,459,,,0.5405893325805664,0.1264636516571045,0.06607636064291
9,,459,0.551226019859314,,,,
,0.001,460,,,,,
10,,479,,0.5093804001808167,,,
10,,499,,0.536138117313385,,,
10,,505,,,0.5364406704902649,0.1274687647819519,0.06618815660476685
10,,505,0.537992537021637,,,,
,0.001,506,,,,,
11,,519,,0.5291486978530884,,,
11,,539,,0.5362526178359985,,,
11,,551,,,0.5314232110977173,0.12859098613262177,0.06526683270931244
11,,551,0.5345395803451538,,,,
,0.001,552,,,,,
12,,559,,0.5640017986297607,,,
12,,579,,0.5110339522361755,,,
12,,597,,,0.5227969288825989,0.12788118422031403,0.06546439975500107
12,,597,0.5280901789665222,,,,
,0.001,598,,,,,
13,,599,,0.4992190897464752,,,
13,,619,,0.5506072044372559,,,
13,,639,,0.5117466449737549,,,
13,,643,,,0.5309888124465942,0.12776389718055725,0.06331323087215424
13,,643,0.5234022736549377,,,,
,0.001,644,,,,,
14,,659,,0.4767197072505951,,,
14,,679,,0.5366500020027161,,,
14,,689,,,0.5110476016998291,0.13113820552825928,0.07057634741067886
14,,689,0.5138073563575745,,,,
,0.001,690,,,,,
15,,699,,0.5006738901138306,,,
15,,719,,0.5090174078941345,,,
15,,735,,,0.508959949016571,0.12883009016513824,0.06634709239006042
15,,735,0.5110024213790894,,,,
,0.001,736,,,,,
16,,739,,0.5238391757011414,,,
16,,759,,0.4996473491191864,,,
16,,779,,0.5169653296470642,,,
16,,781,,,0.5177978873252869,0.1329474300146103,0.07514126598834991
16,,781,0.505092203617096,,,,
,0.001,782,,,,,
17,,799,,0.5025991201400757,,,
17,,819,,0.47147586941719055,,,
17,,827,,,0.5084121227264404,0.1335878074169159,0.06867454200983047
17,,827,0.5044770836830139,,,,
,0.001,828,,,,,
18,,839,,0.49293071031570435,,,
18,,859,,0.5063028335571289,,,
18,,873,,,0.5019282698631287,0.12998327612876892,0.06832573562860489
18,,873,0.5012004375457764,,,,
,0.001,874,,,,,
19,,879,,0.5069193840026855,,,
19,,899,,0.5129292607307434,,,
19,,919,,0.5209338665008545,,,
19,,919,,,0.49934399127960205,0.13021978735923767,0.06985660642385483
19,,919,0.49972519278526306,,,,
,0.001,920,,,,,
20,,939,,0.4487481713294983,,,
20,,959,,0.5069291591644287,,,
20,,965,,,0.4985367953777313,0.13103370368480682,0.07097184658050537
20,,965,0.4939015507698059,,,,
,0.001,966,,,,,
21,,979,,0.5130114555358887,,,
21,,999,,0.4930962026119232,,,
21,,1011,,,0.4969198703765869,0.13287831842899323,0.07280837744474411
21,,1011,0.49202674627304077,,,,
,0.001,1012,,,,,
22,,1019,,0.5159653425216675,,,
22,,1039,,0.46099287271499634,,,
22,,1057,,,0.49618610739707947,0.13299991190433502,0.07285145670175552
22,,1057,0.48524290323257446,,,,
,0.001,1058,,,,,
23,,1059,,0.5196011066436768,,,
23,,1079,,0.4651615023612976,,,
23,,1099,,0.4924147129058838,,,
23,,1103,,,0.48884278535842896,0.13851231336593628,0.07327684760093689
23,,1103,0.49089428782463074,,,,
,0.001,1104,,,,,
24,,1119,,0.5303821563720703,,,
24,,1139,,0.47276103496551514,,,
24,,1149,,,0.48126450181007385,0.13155044615268707,0.07008583843708038
24,,1149,0.48613598942756653,,,,
,0.001,1150,,,,,
25,,1159,,0.4816610515117645,,,
25,,1179,,0.4871540665626526,,,
25,,1195,,,0.48268285393714905,0.13134509325027466,0.07092209160327911
25,,1195,0.48111093044281006,,,,
,0.001,1196,,,,,
26,,1199,,0.4415554106235504,,,
26,,1219,,0.4647288918495178,,,
26,,1239,,0.4713394045829773,,,
26,,1241,,,0.4750959873199463,0.1315765529870987,0.07006260007619858
26,,1241,0.4761113226413727,,,,
,0.001,1242,,,,,
27,,1259,,0.5052297711372375,,,
27,,1279,,0.4818636476993561,,,
27,,1287,,,0.47473281621932983,0.13260851800441742,0.07058759778738022
27,,1287,0.4760804772377014,,,,
,0.001,1288,,,,,
28,,1299,,0.48468858003616333,,,
28,,1319,,0.462401807308197,,,
28,,1333,,,0.4761415123939514,0.13741473853588104,0.07151653617620468
28,,1333,0.47217699885368347,,,,
,0.001,1334,,,,,
29,,1339,,0.4394652843475342,,,
29,,1359,,0.48559221625328064,,,
29,,1379,,0.44143950939178467,,,
29,,1379,,,0.4679681956768036,0.13068974018096924,0.0692175030708313
29,,1379,0.4694949686527252,,,,
,0.001,1380,,,,,
30,,1399,,0.4620291590690613,,,
30,,1419,,0.4418877065181732,,,
30,,1425,,,0.47448238730430603,0.1356089860200882,0.07134521007537842
30,,1425,0.46843859553337097,,,,
,0.001,1426,,,,,
31,,1439,,0.47343069314956665,,,
31,,1459,,0.4630194306373596,,,
31,,1471,,,0.4694628119468689,0.13547539710998535,0.07233187556266785
31,,1471,0.47285154461860657,,,,
,0.001,1472,,,,,
32,,1479,,0.47672897577285767,,,
32,,1499,,0.47569552063941956,,,
32,,1517,,,0.4676528573036194,0.13408367335796356,0.0725323036313057
32,,1517,0.4672907888889313,,,,
,0.001,1518,,,,,
33,,1519,,0.484566867351532,,,
33,,1539,,0.4423425495624542,,,
33,,1559,,0.48325830698013306,,,
33,,1563,,,0.46727490425109863,0.13135099411010742,0.06847188621759415
33,,1563,0.4637693166732788,,,,
,0.001,1564,,,,,
34,,1579,,0.4525374174118042,,,
34,,1599,,0.5566199421882629,,,
34,,1609,,,0.4652421772480011,0.13549579679965973,0.07473945617675781
34,,1609,0.4648514688014984,,,,
,0.001,1610,,,,,
35,,1619,,0.4475579261779785,,,
35,,1639,,0.43111613392829895,,,
35,,1655,,,0.4633505046367645,0.13545317947864532,0.07505860179662704
35,,1655,0.4620789885520935,,,,
,0.001,1656,,,,,
36,,1659,,0.44552943110466003,,,
36,,1679,,0.4935302138328552,,,
36,,1699,,0.45974570512771606,,,
36,,1701,,,0.4695870280265808,0.1338513195514679,0.06852179765701294
36,,1701,0.46100592613220215,,,,
,0.001,1702,,,,,
37,,1719,,0.4998040199279785,,,
37,,1739,,0.4804316461086273,,,
37,,1747,,,0.467250794172287,0.13711068034172058,0.07539866119623184
37,,1747,0.46490487456321716,,,,
,0.001,1748,,,,,
38,,1759,,0.4295310378074646,,,
38,,1779,,0.4382752478122711,,,
38,,1793,,,0.4597727954387665,0.13116268813610077,0.07002442330121994
38,,1793,0.4583779275417328,,,,
,0.001,1794,,,,,
39,,1799,,0.453141450881958,,,
39,,1819,,0.4576599597930908,,,
39,,1839,,0.4338628649711609,,,
39,,1839,,,0.4685056805610657,0.13056501746177673,0.0655849501490593
39,,1839,0.4565262794494629,,,,
,0.001,1840,,,,,
40,,1859,,0.4748873710632324,,,
40,,1879,,0.45765355229377747,,,
40,,1885,,,0.45541107654571533,0.1324838101863861,0.06976360082626343
40,,1885,0.4529578983783722,,,,
,0.001,1886,,,,,
41,,1899,,0.4520375430583954,,,
41,,1919,,0.455159455537796,,,
