epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.01,0,,,,,
0,,19,,0.24630501866340637,,,
0,,39,,0.23608791828155518,,,
0,,45,,,0.24222958087921143,0.1256655901670456,0.06256578117609024
0,,45,0.35031259059906006,,,,
,0.01,46,,,,,
1,,59,,0.237193301320076,,,
1,,79,,0.23082202672958374,,,
1,,91,,,0.21493922173976898,0.12089140713214874,0.05191942676901817
1,,91,0.22936950623989105,,,,
,0.01,92,,,,,
2,,99,,0.20302194356918335,,,
2,,119,,0.2038343846797943,,,
2,,137,,,0.1941731870174408,0.13031065464019775,0.067744180560112
2,,137,0.20204873383045197,,,,
,0.01,138,,,,,
3,,139,,0.19729267060756683,,,
3,,159,,0.18504634499549866,,,
3,,179,,0.14407320320606232,,,
3,,183,,,0.17520377039909363,0.10924750566482544,0.07430616021156311
3,,183,0.17238621413707733,,,,
,0.01,184,,,,,
4,,199,,0.14719122648239136,,,
4,,219,,0.12667781114578247,,,
4,,229,,,0.13529765605926514,0.08030689507722855,0.03934956714510918
4,,229,0.14117954671382904,,,,
,0.01,230,,,,,
5,,239,,0.13409315049648285,,,
5,,259,,0.1212897002696991,,,
5,,275,,,0.12346087396144867,0.07338647544384003,0.04137977212667465
5,,275,0.1268235743045807,,,,
,0.01,276,,,,,
6,,279,,0.11494186520576477,,,
6,,299,,0.11971156299114227,,,
6,,319,,0.11254623532295227,,,
6,,321,,,0.11572948843240738,0.06482227146625519,0.025851117447018623
6,,321,0.1193026751279831,,,,
,0.01,322,,,,,
7,,339,,0.09714875370264053,,,
7,,359,,0.1279442310333252,,,
7,,367,,,0.10803376883268356,0.05904600769281387,0.023868095129728317
7,,367,0.1128314733505249,,,,
,0.01,368,,,,,
8,,379,,0.10326606780290604,,,
8,,399,,0.11564664542675018,,,
8,,413,,,0.10868558287620544,0.05973362922668457,0.022098012268543243
8,,413,0.1139088049530983,,,,
,0.01,414,,,,,
9,,419,,0.11055590957403183,,,
9,,439,,0.11106178164482117,,,
9,,459,,0.10265476256608963,,,
9,,459,,,0.10724632441997528,0.056322842836380005,0.0161842443048954
9,,459,0.10448108613491058,,,,
,0.01,460,,,,,
10,,479,,0.09657517820596695,,,
10,,499,,0.10179203748703003,,,
10,,505,,,0.12494742125272751,0.06509562581777573,0.023817207664251328
10,,505,0.09888006746768951,,,,
,0.01,506,,,,,
11,,519,,0.09989919513463974,,,
11,,539,,0.09604315459728241,,,
11,,551,,,0.08823571354150772,0.04272730275988579,0.008427295833826065
11,,551,0.09742424637079239,,,,
,0.01,552,,,,,
12,,559,,0.09112484008073807,,,
12,,579,,0.07840324938297272,,,
12,,597,,,0.09467003494501114,0.04339463263750076,0.009543162770569324
12,,597,0.08886870741844177,,,,
,0.01,598,,,,,
13,,599,,0.08417586982250214,,,
13,,619,,0.08434291183948517,,,
13,,639,,0.07794138044118881,,,
13,,643,,,0.09408670663833618,0.050552088767290115,0.008858626708388329
13,,643,0.08202823996543884,,,,
,0.01,644,,,,,
14,,659,,0.06909332424402237,,,
14,,679,,0.07587577402591705,,,
14,,689,,,0.07755427807569504,0.03670080751180649,0.005684699397534132
14,,689,0.07807107269763947,,,,
,0.01,690,,,,,
15,,699,,0.06986917555332184,,,
15,,719,,0.07384025305509567,,,
15,,735,,,0.08066149801015854,0.03821445629000664,0.005848558619618416
15,,735,0.07798167318105698,,,,
,0.01,736,,,,,
16,,739,,0.08338378369808197,,,
16,,759,,0.07220353186130524,,,
16,,779,,0.07553354650735855,,,
16,,781,,,0.08060446381568909,0.040423449128866196,0.005876915529370308
16,,781,0.0781659409403801,,,,
,0.01,782,,,,,
17,,799,,0.0810905396938324,,,
17,,819,,0.06682763993740082,,,
17,,827,,,0.07757174968719482,0.03907126933336258,0.0045547522604465485
17,,827,0.07779126614332199,,,,
,0.01,828,,,,,
18,,839,,0.06174599379301071,,,
18,,859,,0.07836994528770447,,,
18,,873,,,0.069603331387043,0.03311118483543396,0.004490404389798641
18,,873,0.0740392655134201,,,,
,0.01,874,,,,,
19,,879,,0.0713951513171196,,,
19,,899,,0.07914434373378754,,,
19,,919,,0.07186003029346466,,,
19,,919,,,0.0753210112452507,0.03694924712181091,0.005216679535806179
19,,919,0.07212494313716888,,,,
,0.01,920,,,,,
20,,939,,0.06733784079551697,,,
20,,959,,0.08445293456315994,,,
20,,965,,,0.07949595898389816,0.03775297477841377,0.004929910413920879
20,,965,0.0730263814330101,,,,
,0.01,966,,,,,
21,,979,,0.07628028094768524,,,
21,,999,,0.0683247521519661,,,
21,,1011,,,0.07783763110637665,0.03753209859132767,0.0052232262678444386
21,,1011,0.07393844425678253,,,,
,0.01,1012,,,,,
22,,1019,,0.07052412629127502,,,
22,,1039,,0.06805522739887238,,,
22,,1057,,,0.07073049992322922,0.033258579671382904,0.003700876608490944
22,,1057,0.07003097236156464,,,,
,0.01,1058,,,,,
23,,1059,,0.08364391326904297,,,
23,,1079,,0.07301612198352814,,,
23,,1099,,0.06899425387382507,,,
23,,1103,,,0.0841628685593605,0.037792958319187164,0.005222303327172995
23,,1103,0.07057510316371918,,,,
,0.01,1104,,,,,
24,,1119,,0.07327166199684143,,,
24,,1139,,0.06609432399272919,,,
24,,1149,,,0.06398950517177582,0.02851713076233864,0.00309566268697381
24,,1149,0.0665806382894516,,,,
,0.01,1150,,,,,
25,,1159,,0.07536473870277405,,,
25,,1179,,0.0682535171508789,,,
25,,1195,,,0.08085010200738907,0.03719654679298401,0.006248235236853361
25,,1195,0.06850182265043259,,,,
,0.01,1196,,,,,
26,,1199,,0.06353320181369781,,,
26,,1219,,0.06057628244161606,,,
26,,1239,,0.06669628620147705,,,
26,,1241,,,0.06750216335058212,0.02975127100944519,0.003731143893674016
26,,1241,0.06864485889673233,,,,
,0.01,1242,,,,,
27,,1259,,0.07039472460746765,,,
27,,1279,,0.07055073231458664,,,
27,,1287,,,0.06282409280538559,0.02723238617181778,0.00324772740714252
27,,1287,0.06478996574878693,,,,
,0.01,1288,,,,,
28,,1299,,0.053531453013420105,,,
28,,1319,,0.06645043194293976,,,
28,,1333,,,0.08086611330509186,0.039850760251283646,0.00453597167506814
28,,1333,0.0640624538064003,,,,
,0.01,1334,,,,,
29,,1339,,0.060334984213113785,,,
29,,1359,,0.06195487827062607,,,
29,,1379,,0.05991508811712265,,,
29,,1379,,,0.0645235925912857,0.03037879429757595,0.0030527787748724222
29,,1379,0.06499508768320084,,,,
,0.01,1380,,,,,
30,,1399,,0.07127693295478821,,,
30,,1419,,0.05769827216863632,,,
30,,1425,,,0.058778177946805954,0.025505399331450462,0.002541793743148446
30,,1425,0.06359653174877167,,,,
,0.01,1426,,,,,
31,,1439,,0.06073429435491562,,,
31,,1459,,0.08757171034812927,,,
31,,1471,,,0.05856071040034294,0.02568444050848484,0.002876575570553541
31,,1471,0.06497927010059357,,,,
