epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,1.5301209688186646,,,
0,,39,,1.213043451309204,,,
0,,45,,,1.2337398529052734,0.14016850292682648,0.06826242804527283
0,,45,3.8804726600646973,,,,
,0.001,46,,,,,
1,,59,,1.1926294565200806,,,
1,,79,,1.184051275253296,,,
1,,91,,,1.1681246757507324,0.1437872052192688,0.06358293443918228
1,,91,1.2106168270111084,,,,
,0.001,92,,,,,
2,,99,,1.0683835744857788,,,
2,,119,,1.1710649728775024,,,
2,,137,,,1.15144944190979,0.16654343903064728,0.0722527951002121
2,,137,1.1783127784729004,,,,
,0.001,138,,,,,
3,,139,,1.1675628423690796,,,
3,,159,,1.1985392570495605,,,
3,,179,,1.0521055459976196,,,
3,,183,,,1.1482114791870117,0.16756726801395416,0.07236693054437637
3,,183,1.1333677768707275,,,,
,0.001,184,,,,,
4,,199,,1.0802217721939087,,,
4,,219,,1.167494535446167,,,
4,,229,,,1.0629249811172485,0.15409281849861145,0.06599349528551102
4,,229,1.101678729057312,,,,
,0.001,230,,,,,
5,,239,,1.0984644889831543,,,
5,,259,,1.104439377784729,,,
5,,275,,,1.0606741905212402,0.14489702880382538,0.06042257696390152
5,,275,1.079543113708496,,,,
,0.001,276,,,,,
6,,279,,1.0391916036605835,,,
6,,299,,1.02598237991333,,,
6,,319,,1.0411626100540161,,,
6,,321,,,1.054160237312317,0.1466890275478363,0.06255092471837997
6,,321,1.0589956045150757,,,,
,0.001,322,,,,,
7,,339,,0.9916183948516846,,,
7,,359,,1.0518317222595215,,,
7,,367,,,1.0467069149017334,0.14808033406734467,0.06217404082417488
7,,367,1.0604444742202759,,,,
,0.001,368,,,,,
8,,379,,0.9562761187553406,,,
8,,399,,1.0526846647262573,,,
8,,413,,,1.0401288270950317,0.15275324881076813,0.06385669112205505
8,,413,1.0628412961959839,,,,
,0.001,414,,,,,
9,,419,,0.9988305568695068,,,
9,,439,,1.1339555978775024,,,
9,,459,,1.0378812551498413,,,
9,,459,,,1.0484510660171509,0.16002410650253296,0.06791337579488754
9,,459,1.0412122011184692,,,,
,0.001,460,,,,,
10,,479,,1.0204274654388428,,,
10,,499,,1.0333962440490723,,,
10,,505,,,1.0315049886703491,0.15752868354320526,0.06506312638521194
10,,505,1.0396376848220825,,,,
,0.001,506,,,,,
11,,519,,0.988973081111908,,,
11,,539,,1.0175002813339233,,,
11,,551,,,1.048334002494812,0.16376657783985138,0.0676175057888031
11,,551,1.0385030508041382,,,,
,0.001,552,,,,,
12,,559,,1.0516160726547241,,,
12,,579,,0.9552010297775269,,,
12,,597,,,1.0121821165084839,0.1642398089170456,0.07009446620941162
12,,597,1.0161715745925903,,,,
,0.001,598,,,,,
13,,599,,0.9532745480537415,,,
13,,619,,1.0617880821228027,,,
13,,639,,0.9908320307731628,,,
13,,643,,,0.9849691987037659,0.16674073040485382,0.0729999989271164
13,,643,0.997398316860199,,,,
,0.001,644,,,,,
14,,659,,0.9391242265701294,,,
14,,679,,0.9996176958084106,,,
14,,689,,,0.9800748825073242,0.16561995446681976,0.07088420540094376
14,,689,0.9952842593193054,,,,
,0.001,690,,,,,
15,,699,,0.9577767252922058,,,
15,,719,,0.9432160258293152,,,
15,,735,,,0.9541266560554504,0.16566143929958344,0.06932656466960907
15,,735,0.9767189025878906,,,,
,0.001,736,,,,,
16,,739,,1.015485167503357,,,
16,,759,,0.9436046481132507,,,
16,,779,,0.9623444080352783,,,
16,,781,,,0.936559796333313,0.17509101331233978,0.0777176171541214
16,,781,0.9631307125091553,,,,
,0.001,782,,,,,
17,,799,,0.9325699806213379,,,
17,,819,,0.9197524785995483,,,
17,,827,,,0.9094173312187195,0.1641848385334015,0.07042471319437027
17,,827,0.9353728890419006,,,,
,0.001,828,,,,,
