epoch,lr-AdamW,step,train/loss_step
,0.001,0,
0,,19,0.2216435968875885
0,,39,0.11489013582468033
0,,59,0.019802697002887726
0,,79,0.07819883525371552
0,,99,0.01883145421743393
0,,119,0.15511934459209442
0,,139,0.034674037247896194
0,,159,0.0835697129368782
0,,179,0.018269475549459457
0,,199,0.02845875173807144
0,,219,0.0365719310939312
0,,239,0.08543665707111359
0,,259,0.15611493587493896
0,,279,0.04166640341281891
0,,299,0.08462606370449066
0,,319,0.08224200457334518
0,,339,0.04239630326628685
0,,359,0.027976103127002716
0,,379,0.01952884905040264
0,,399,0.019277777522802353
0,,419,0.03491172567009926
0,,439,0.030484190210700035
0,,459,0.023391496390104294
0,,479,0.020114155486226082
0,,499,0.036903198808431625
0,,519,0.043392330408096313
0,,539,0.05184740573167801
0,,559,0.03138262778520584
0,,579,0.03077586553990841
0,,599,0.0313354954123497
0,,619,0.04692631587386131
0,,639,0.06485350430011749
0,,659,0.044855475425720215
0,,679,0.012316539883613586
0,,699,0.04296252131462097
0,,719,0.02184058353304863
0,,739,0.02365747094154358
0,,759,0.018890099599957466
0,,779,0.009223530068993568
0,,799,0.061935946345329285
0,,819,0.012416373938322067
0,,839,0.01385615486651659
0,,859,0.03902791067957878
0,,879,0.024459045380353928
0,,899,0.020746389403939247
0,,919,0.07919693738222122
0,,939,0.019407063722610474
0,,959,0.01632687821984291
0,,979,0.033241692930459976
0,,999,0.019933490082621574
0,,1019,0.03418848291039467
0,,1039,0.011098146438598633
0,,1059,0.13360317051410675
0,,1079,0.010516305454075336
0,,1099,0.02672506310045719
0,,1119,0.03076564334332943
0,,1139,0.023606909438967705
0,,1159,0.0212600976228714
0,,1179,0.009929222986102104
0,,1199,0.038459427654743195
0,,1219,0.02062668278813362
0,,1239,0.04916663467884064
0,,1259,0.043279144912958145
0,,1279,0.017398016527295113
0,,1299,0.05458315461874008
0,,1319,0.06131725758314133
0,,1339,0.04873223602771759
0,,1359,0.02371438778936863
0,,1379,0.02067393809556961
0,,1399,0.037702664732933044
0,,1419,0.029401998966932297
0,,1439,0.009092644788324833
0,,1459,0.008855476975440979
0,,1479,0.015424325130879879
0,,1499,0.022549297660589218
0,,1519,0.023473313078284264
0,,1539,0.016778171062469482
0,,1559,0.026928026229143143
0,,1579,0.025064993649721146
0,,1599,0.014991091564297676
0,,1619,0.0418221540749073
0,,1639,0.022731376811861992
0,,1659,0.02113444171845913
0,,1679,0.015061873942613602
0,,1699,0.020061075687408447
0,,1719,0.04057992622256279
0,,1739,0.09281686693429947
0,,1759,0.019741475582122803
0,,1779,0.019051020964980125
0,,1799,0.01758548431098461
0,,1819,0.07228966057300568
0,,1839,0.023386580869555473
0,,1859,0.01637357473373413
0,,1879,0.036908432841300964
0,,1899,0.03424915298819542
0,,1919,0.023013047873973846
0,,1939,0.022724861279129982
0,,1959,0.036452651023864746
0,,1979,0.022106725722551346
0,,1999,0.07346493005752563
0,,2019,0.10418485850095749
0,,2039,0.007264840416610241
0,,2059,0.013782717287540436
0,,2079,0.013554194010794163
0,,2099,0.018721066415309906
0,,2119,0.025647740811109543
0,,2139,0.052750565111637115
0,,2159,0.026422228664159775
0,,2179,0.01468326523900032
