epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,0.08237026631832123,,,
0,,39,,0.04462578892707825,,,
0,,45,,,0.04596283659338951,0.11303215473890305,0.04596283659338951
0,,45,0.7717870473861694,,,,
,0.001,46,,,,,
1,,59,,0.047953274101018906,,,
1,,79,,0.0543697364628315,,,
1,,91,,,0.043363988399505615,0.10388923436403275,0.043363988399505615
1,,91,0.048315905034542084,,,,
,0.001,92,,,,,
2,,99,,0.04309360682964325,,,
2,,119,,0.034914374351501465,,,
