epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,0.4190088212490082,,,
0,,39,,0.400631308555603,,,
0,,45,,,0.41193827986717224,0.13633690774440765,0.05843004211783409
0,,45,1.06666100025177,,,,
,0.001,46,,,,,
1,,59,,0.4027533531188965,,,
1,,79,,0.40366050601005554,,,
1,,91,,,0.38494178652763367,0.11987584829330444,0.05540172755718231
1,,91,0.40068575739860535,,,,
,0.001,92,,,,,
2,,99,,0.3519967794418335,,,
2,,119,,0.3747175633907318,,,
2,,137,,,0.3563731014728546,0.11899344623088837,0.05916550010442734
2,,137,0.3665730655193329,,,,
,0.001,138,,,,,
3,,139,,0.3764824867248535,,,
3,,159,,0.37496480345726013,,,
3,,179,,0.3266599774360657,,,
3,,183,,,0.3536297380924225,0.11748068034648895,0.05735493451356888
3,,183,0.3564344048500061,,,,
,0.001,184,,,,,
4,,199,,0.34999826550483704,,,
4,,219,,0.350696325302124,,,
4,,229,,,0.3496896028518677,0.11469851434230804,0.05828964710235596
4,,229,0.3524071276187897,,,,
,0.001,230,,,,,
5,,239,,0.3515273630619049,,,
5,,259,,0.3580774664878845,,,
5,,275,,,0.3463696241378784,0.11004701256752014,0.05412375181913376
5,,275,0.3482791483402252,,,,
,0.001,276,,,,,
6,,279,,0.33127546310424805,,,
6,,299,,0.33397603034973145,,,
6,,319,,0.3290635943412781,,,
6,,321,,,0.3358960747718811,0.09379179030656815,0.04721049591898918
6,,321,0.33908170461654663,,,,
,0.001,322,,,,,
7,,339,,0.3048969507217407,,,
7,,359,,0.3364329934120178,,,
7,,367,,,0.32981836795806885,0.09303611516952515,0.049595776945352554
7,,367,0.32897496223449707,,,,
,0.001,368,,,,,
8,,379,,0.30111163854599,,,
8,,399,,0.3323957026004791,,,
8,,413,,,0.31943753361701965,0.09081840515136719,0.047267839312553406
8,,413,0.3263590633869171,,,,
,0.001,414,,,,,
9,,419,,0.30566081404685974,,,
9,,439,,0.337668776512146,,,
9,,459,,0.3211475908756256,,,
9,,459,,,0.31746789813041687,0.09099017828702927,0.049249012023210526
9,,459,0.3203181028366089,,,,
,0.001,460,,,,,
10,,479,,0.29788151383399963,,,
10,,499,,0.3152368664741516,,,
10,,505,,,0.31383994221687317,0.0846291109919548,0.04152660816907883
10,,505,0.31568214297294617,,,,
,0.001,506,,,,,
11,,519,,0.307169109582901,,,
11,,539,,0.3192324638366699,,,
11,,551,,,0.3137376010417938,0.08505821228027344,0.04235982522368431
11,,551,0.31902965903282166,,,,
,0.001,552,,,,,
12,,559,,0.32230278849601746,,,
12,,579,,0.28871968388557434,,,
12,,597,,,0.30843663215637207,0.08263946324586868,0.041663218289613724
12,,597,0.3109421730041504,,,,
,0.001,598,,,,,
13,,599,,0.3094877302646637,,,
13,,619,,0.3271361291408539,,,
13,,639,,0.29453590512275696,,,
13,,643,,,0.30737051367759705,0.07944752275943756,0.03923099860548973
13,,643,0.30782124400138855,,,,
,0.001,644,,,,,
14,,659,,0.2895142436027527,,,
14,,679,,0.3094147741794586,,,
