epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae
,0.001,0,,,,
0,,19,,0.08237026631832123,,
0,,39,,0.04462578892707825,,
0,,45,,,0.04596283659338951,0.11303215473890305
0,,45,0.7717870473861694,,,
,0.001,46,,,,
1,,59,,0.047953274101018906,,
1,,79,,0.0543697364628315,,
1,,91,,,0.043363988399505615,0.10388923436403275
1,,91,0.048315905034542084,,,
,0.001,92,,,,
2,,99,,0.04309360682964325,,
2,,119,,0.034914374351501465,,
2,,137,,,0.034135058522224426,0.09974531829357147
2,,137,0.040890052914619446,,,
,0.001,138,,,,
3,,139,,0.03212839737534523,,
3,,159,,0.032866764813661575,,
3,,179,,0.02947220951318741,,
3,,183,,,0.030336325988173485,0.08469890803098679
3,,183,0.03192432224750519,,,
,0.001,184,,,,
4,,199,,0.026476489380002022,,
4,,219,,0.02918827161192894,,
4,,229,,,0.023540692403912544,0.0756295770406723
4,,229,0.03046310693025589,,,
,0.001,230,,,,
5,,239,,0.023371761664748192,,
5,,259,,0.02122308686375618,,
5,,275,,,0.024272747337818146,0.085413359105587
5,,275,0.023459890857338905,,,
,0.001,276,,,,
6,,279,,0.0219242163002491,,
6,,299,,0.018415452912449837,,
6,,319,,0.014710746705532074,,
6,,321,,,0.016784433275461197,0.07018475979566574
6,,321,0.02288428135216236,,,
,0.001,322,,,,
7,,339,,0.014370568096637726,,
7,,359,,0.014190932735800743,,
7,,367,,,0.013029811903834343,0.06043311581015587
7,,367,0.01761528104543686,,,
,0.001,368,,,,
8,,379,,0.017923077568411827,,
8,,399,,0.015043803490698338,,
8,,413,,,0.011880740523338318,0.06206022575497627
8,,413,0.015377100557088852,,,
,0.001,414,,,,
9,,419,,0.011130665428936481,,
9,,439,,0.011672892607748508,,
9,,459,,0.012938672676682472,,
9,,459,,,0.02383732981979847,0.08449676632881165
9,,459,0.012575967237353325,,,
,0.001,460,,,,
10,,479,,0.009943636134266853,,
10,,499,,0.013888232409954071,,
10,,505,,,0.011379661038517952,0.0532236285507679
10,,505,0.01404228713363409,,,
,0.001,506,,,,
11,,519,,0.010003171861171722,,
11,,539,,0.009177044034004211,,
11,,551,,,0.007967761717736721,0.04586655646562576
11,,551,0.009904204867780209,,,
,0.001,552,,,,
12,,559,,0.009141343645751476,,
12,,579,,0.011604157276451588,,
12,,597,,,0.009684230200946331,0.06110180541872978
12,,597,0.010578221641480923,,,
,0.001,598,,,,
13,,599,,0.007389882579445839,,
13,,619,,0.007960611023008823,,
13,,639,,0.00957513228058815,,
13,,643,,,0.017449745908379555,0.07199061661958694
13,,643,0.009523407556116581,,,
,0.001,644,,,,
14,,659,,0.008273803628981113,,
14,,679,,0.008693467825651169,,
14,,689,,,0.011468040756881237,0.06813065707683563
14,,689,0.01191247720271349,,,
,0.001,690,,,,
15,,699,,0.007967459969222546,,
15,,719,,0.007547171786427498,,
15,,735,,,0.009298589080572128,0.054054610431194305
15,,735,0.008778516203165054,,,
,0.001,736,,,,
16,,739,,0.009549333713948727,,
16,,759,,0.007186997681856155,,
16,,779,,0.009606541134417057,,
16,,781,,,0.010091333650052547,0.06186246871948242
16,,781,0.009573710151016712,,,
,0.001,782,,,,
17,,799,,0.007499310187995434,,
17,,819,,0.007596342358738184,,
17,,827,,,0.006945026107132435,0.043796051293611526
17,,827,0.010369712486863136,,,
,0.001,828,,,,
18,,839,,0.005300093907862902,,
18,,859,,0.006201938260346651,,
18,,873,,,0.008405991829931736,0.0526251457631588
18,,873,0.008011634461581707,,,
,0.001,874,,,,
19,,879,,0.006443951278924942,,
19,,899,,0.00999130867421627,,
19,,919,,0.007169679272919893,,
19,,919,,,0.005702003836631775,0.03963328152894974
19,,919,0.007872754707932472,,,
,0.001,920,,,,
20,,939,,0.007829991169273853,,
20,,959,,0.006256922613829374,,
20,,965,,,0.006178847514092922,0.04066826030611992
20,,965,0.009609682485461235,,,
,0.001,966,,,,
21,,979,,0.006373700685799122,,
21,,999,,0.005602962337434292,,
21,,1011,,,0.0069683147594332695,0.04515365883708
21,,1011,0.0070200045593082905,,,
,0.001,1012,,,,
22,,1019,,0.008616468869149685,,
22,,1039,,0.005846880376338959,,
22,,1057,,,0.005139416083693504,0.03709327429533005
22,,1057,0.007020578254014254,,,
,0.001,1058,,,,
23,,1059,,0.00774099538102746,,
23,,1079,,0.007335302419960499,,
23,,1099,,0.006187213584780693,,
23,,1103,,,0.0051920413970947266,0.038277532905340195
23,,1103,0.006580244284123182,,,
,0.001,1104,,,,
24,,1119,,0.005945445038378239,,
24,,1139,,0.006064286455512047,,
24,,1149,,,0.007519028149545193,0.05067988485097885
24,,1149,0.007304786704480648,,,
,0.001,1150,,,,
25,,1159,,0.007256620563566685,,
25,,1179,,0.005667096469551325,,
25,,1195,,,0.0046660639345645905,0.03713160753250122
25,,1195,0.006251838989555836,,,
,0.001,1196,,,,
26,,1199,,0.004256498068571091,,
26,,1219,,0.004690855275839567,,
26,,1239,,0.0038255027029663324,,
26,,1241,,,0.004394933115690947,0.03504613786935806
26,,1241,0.00501190684735775,,,
,0.001,1242,,,,
27,,1259,,0.004453207831829786,,
27,,1279,,0.004888355731964111,,
27,,1287,,,0.005597309209406376,0.041433632373809814
27,,1287,0.004304456990212202,,,
,0.001,1288,,,,
28,,1299,,0.004275808576494455,,
28,,1319,,0.007786390371620655,,
28,,1333,,,0.005965886637568474,0.04505562782287598
28,,1333,0.006364664062857628,,,
,0.001,1334,,,,
29,,1339,,0.004581628832966089,,
29,,1359,,0.005105672869831324,,
29,,1379,,0.004331318195909262,,
29,,1379,,,0.004121985286474228,0.0350167490541935
29,,1379,0.007288052700459957,,,
,0.001,1380,,,,
30,,1399,,0.0037319608964025974,,
30,,1419,,0.00563803780823946,,
30,,1425,,,0.008141618221998215,0.05260973051190376
30,,1425,0.005743769463151693,,,
,0.001,1426,,,,
31,,1439,,0.0044774399138987064,,
31,,1459,,0.00430708285421133,,
31,,1471,,,0.006157811265438795,0.043769679963588715
31,,1471,0.004802065435796976,,,
,0.001,1472,,,,
32,,1479,,0.004897532984614372,,
32,,1499,,0.005974952597171068,,
32,,1517,,,0.004281351808458567,0.037626542150974274
32,,1517,0.005645514000207186,,,
,0.001,1518,,,,
33,,1519,,0.004189745523035526,,
33,,1539,,0.004522227216511965,,
33,,1559,,0.004731036256998777,,
33,,1563,,,0.004051411058753729,0.0345086045563221
33,,1563,0.005109229125082493,,,
,0.001,1564,,,,
34,,1579,,0.00413661589846015,,
34,,1599,,0.008213220164179802,,
34,,1609,,,0.004604178946465254,0.03794972971081734
34,,1609,0.006575420964509249,,,
,0.001,1610,,,,
35,,1619,,0.0038750371895730495,,
35,,1639,,0.0033533598762005568,,
35,,1655,,,0.003548710374161601,0.03150458261370659
35,,1655,0.004366642329841852,,,
,0.001,1656,,,,
36,,1659,,0.0031789937056601048,,
36,,1679,,0.0034163447562605143,,
36,,1699,,0.004728094674646854,,
36,,1701,,,0.004519171081483364,0.04143762215971947
36,,1701,0.004061010666191578,,,
,0.001,1702,,,,
37,,1719,,0.004956323653459549,,
37,,1739,,0.005931367166340351,,
37,,1747,,,0.004202522337436676,0.03535987064242363
37,,1747,0.004852006211876869,,,
,0.001,1748,,,,
38,,1759,,0.003152907593175769,,
38,,1779,,0.0028273428324609995,,
38,,1793,,,0.006318703759461641,0.044943664222955704
38,,1793,0.005001027602702379,,,
,0.001,1794,,,,
39,,1799,,0.0063721779733896255,,
39,,1819,,0.003859026124700904,,
39,,1839,,0.004770435392856598,,
39,,1839,,,0.004373845178633928,0.03693140670657158
39,,1839,0.005044159013777971,,,
,0.001,1840,,,,
40,,1859,,0.0039779492653906345,,
40,,1879,,0.004567480180412531,,
40,,1885,,,0.008809332735836506,0.05928798392415047
40,,1885,0.004351071547716856,,,
,0.001,1886,,,,
41,,1899,,0.004617184866219759,,
41,,1919,,0.005051561631262302,,
41,,1931,,,0.0037403155583888292,0.03445222228765488
41,,1931,0.004970257170498371,,,
,0.0005,1932,,,,
42,,1939,,0.0034319700207561255,,
42,,1959,,0.0039834133349359035,,
42,,1977,,,0.003297644667327404,0.03057369776070118
42,,1977,0.0050041694194078445,,,
,0.0005,1978,,,,
43,,1979,,0.003185720182955265,,
43,,1999,,0.0037710226606577635,,
43,,2019,,0.003400661051273346,,
43,,2023,,,0.003078169422224164,0.02931567281484604
43,,2023,0.0033012249041348696,,,
,0.0005,2024,,,,
44,,2039,,0.003348599886521697,,
44,,2059,,0.003130451077595353,,
44,,2069,,,0.002870638854801655,0.028204895555973053
44,,2069,0.0030562300235033035,,,
,0.0005,2070,,,,
45,,2079,,0.004616428632289171,,
45,,2099,,0.007317722775042057,,
45,,2115,,,0.0029908311553299427,0.029028156772255898
45,,2115,0.003136690706014633,,,
,0.0005,2116,,,,
46,,2119,,0.0035629125777632,,
46,,2139,,0.003029514104127884,,
46,,2159,,0.00261285318993032,,
46,,2161,,,0.002756760222837329,0.027476340532302856
46,,2161,0.003101817797869444,,,
,0.0005,2162,,,,
47,,2179,,0.0035094283521175385,,
47,,2199,,0.003435524646192789,,
47,,2207,,,0.003027714090421796,0.029911566525697708
47,,2207,0.003354080021381378,,,
,0.0005,2208,,,,
48,,2219,,0.002366610337048769,,
48,,2239,,0.0026976915542036295,,
48,,2253,,,0.0028622320387512445,0.028679972514510155
48,,2253,0.0030570556409657,,,
,0.0005,2254,,,,
49,,2259,,0.0030968852806836367,,
49,,2279,,0.0038451426662504673,,
49,,2299,,0.004156603943556547,,
49,,2299,,,0.0027922503650188446,0.028247999027371407
49,,2299,0.0031207907013595104,,,
