epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae
,0.01,0,,,,
0,,19,,0.04655730351805687,,
0,,39,,0.054622337222099304,,
0,,45,,,0.045017074793577194,0.10836771130561829
0,,45,0.6400215029716492,,,
,0.01,46,,,,
1,,59,,0.04031391814351082,,
1,,79,,0.059995707124471664,,
1,,91,,,0.04476657882332802,0.1074603721499443
1,,91,0.04985341429710388,,,
,0.01,92,,,,
2,,99,,0.04628114029765129,,
2,,119,,0.04866344481706619,,
2,,137,,,0.04525366425514221,0.10891993343830109
2,,137,0.04818040505051613,,,
,0.01,138,,,,
3,,139,,0.0412566214799881,,
3,,159,,0.04527482017874718,,
3,,179,,0.041550036519765854,,
3,,183,,,0.04455065354704857,0.10861986875534058
3,,183,0.0492478683590889,,,
,0.01,184,,,,
4,,199,,0.04072217270731926,,
4,,219,,0.04155394807457924,,
4,,229,,,0.04481406509876251,0.10870121419429779
4,,229,0.04875822365283966,,,
,0.01,230,,,,
5,,239,,0.04217895120382309,,
5,,259,,0.04468178749084473,,
5,,275,,,0.044879671186208725,0.11004438996315002
5,,275,0.046904295682907104,,,
,0.01,276,,,,
6,,279,,0.0345037579536438,,
6,,299,,0.04026414826512337,,
6,,319,,0.0555645115673542,,
6,,321,,,187.67977905273438,5.502634525299072
6,,321,0.055934835225343704,,,
,0.01,322,,,,
7,,339,,0.04025028645992279,,
7,,359,,0.04741988331079483,,
7,,367,,,0.04407789185643196,0.10853724926710129
7,,367,0.048736318945884705,,,
,0.01,368,,,,
8,,379,,0.047524191439151764,,
8,,399,,0.04599534347653389,,
8,,413,,,0.042944394052028656,0.10292144119739532
8,,413,0.04771896451711655,,,
,0.01,414,,,,
9,,419,,0.04092758521437645,,
9,,439,,0.046436432749032974,,
9,,459,,0.035570643842220306,,
9,,459,,,0.04216444864869118,0.10183228552341461
9,,459,0.0468444861471653,,,
,0.01,460,,,,
10,,479,,0.042333751916885376,,
10,,499,,0.043773103505373,,
10,,505,,,0.040218666195869446,0.09732817858457565
10,,505,0.045410484075546265,,,
,0.01,506,,,,
11,,519,,0.04779541492462158,,
11,,539,,0.04189223423600197,,
11,,551,,,0.0387064665555954,0.10428238660097122
11,,551,0.042851295322179794,,,
,0.01,552,,,,
12,,559,,0.04296702891588211,,
12,,579,,0.08037766814231873,,
12,,597,,,0.07025854289531708,0.19343970715999603
12,,597,0.04272771254181862,,,
,0.01,598,,,,
13,,599,,0.03966549038887024,,
13,,619,,0.0369742251932621,,
13,,639,,0.05046801269054413,,
13,,643,,,0.042080871760845184,0.0990598052740097
13,,643,0.04766147956252098,,,
,0.01,644,,,,
14,,659,,0.03892964869737625,,
14,,679,,0.04892108216881752,,
14,,689,,,0.041575152426958084,0.10339353233575821
14,,689,0.04543980583548546,,,
,0.01,690,,,,
15,,699,,0.039595574140548706,,
15,,719,,0.0378299355506897,,
15,,735,,,0.03533191606402397,0.09671156108379364
15,,735,0.041690800338983536,,,
,0.01,736,,,,
16,,739,,0.03257746621966362,,
16,,759,,0.035240016877651215,,
16,,779,,0.029566621407866478,,
16,,781,,,0.03428373485803604,0.09389261901378632
16,,781,0.038597360253334045,,,
,0.01,782,,,,
17,,799,,0.03580218553543091,,
17,,819,,0.027730535715818405,,
17,,827,,,0.030006881803274155,0.08581940084695816
17,,827,0.035663820803165436,,,
,0.01,828,,,,
18,,839,,0.03045816533267498,,
18,,859,,0.026679323986172676,,
18,,873,,,0.03315911814570427,0.09918174147605896
18,,873,0.03287581354379654,,,
,0.01,874,,,,
19,,879,,0.031682562083005905,,
19,,899,,0.02657136134803295,,
19,,919,,0.02591666206717491,,
19,,919,,,0.031884994357824326,0.10023034363985062
19,,919,0.031872257590293884,,,
,0.01,920,,,,
20,,939,,0.02709459699690342,,
20,,959,,0.0267579797655344,,
20,,965,,,0.02812218852341175,0.08471446484327316
20,,965,0.029625162482261658,,,
,0.01,966,,,,
21,,979,,0.023513326421380043,,
21,,999,,0.029291793704032898,,
21,,1011,,,0.024118589237332344,0.07591959089040756
21,,1011,0.029481060802936554,,,
,0.01,1012,,,,
22,,1019,,0.022199099883437157,,
22,,1039,,0.021253444254398346,,
22,,1057,,,0.058098044246435165,0.19073353707790375
22,,1057,0.028279898688197136,,,
,0.01,1058,,,,
23,,1059,,0.024184871464967728,,
23,,1079,,0.021273965016007423,,
23,,1099,,0.018611116334795952,,
23,,1103,,,0.025610720738768578,0.0840495154261589
23,,1103,0.02711137942969799,,,
,0.01,1104,,,,
24,,1119,,0.023407211527228355,,
24,,1139,,0.030477751046419144,,
24,,1149,,,0.09182927012443542,0.25002071261405945
24,,1149,0.028866909444332123,,,
,0.01,1150,,,,
25,,1159,,0.047225937247276306,,
25,,1179,,0.035858701914548874,,
25,,1195,,,0.028879130259156227,0.08894436806440353
25,,1195,0.04044996574521065,,,
,0.01,1196,,,,
26,,1199,,0.026357052847743034,,
26,,1219,,0.02445465885102749,,
26,,1239,,0.02141796424984932,,
26,,1241,,,0.02408543787896633,0.07838525623083115
26,,1241,0.02867717109620571,,,
,0.01,1242,,,,
27,,1259,,0.024261195212602615,,
27,,1279,,0.022706732153892517,,
27,,1287,,,0.024332499131560326,0.08331901580095291
27,,1287,0.025020970031619072,,,
,0.01,1288,,,,
28,,1299,,0.02483656257390976,,
28,,1319,,0.022537168115377426,,
28,,1333,,,0.02227892354130745,0.08387432992458344
28,,1333,0.024541884660720825,,,
,0.01,1334,,,,
29,,1339,,0.021598638966679573,,
29,,1359,,0.019922170788049698,,
29,,1379,,0.026067841798067093,,
29,,1379,,,0.0266082976013422,0.09552198648452759
29,,1379,0.021874992176890373,,,
,0.01,1380,,,,
30,,1399,,0.0443485789000988,,
30,,1419,,0.03421973064541817,,
30,,1425,,,0.036516934633255005,0.09785545617341995
30,,1425,0.04877358302474022,,,
,0.01,1426,,,,
31,,1439,,0.03774144500494003,,
31,,1459,,0.02218770608305931,,
31,,1471,,,0.026542043313384056,0.07732486724853516
31,,1471,0.0336301289498806,,,
,0.01,1472,,,,
32,,1479,,0.028453627601265907,,
32,,1499,,0.023164663463830948,,
32,,1517,,,0.02318023517727852,0.07719440013170242
32,,1517,0.028236383572220802,,,
,0.01,1518,,,,
33,,1519,,0.021524706855416298,,
33,,1539,,0.023956554010510445,,
33,,1559,,0.023739483207464218,,
33,,1563,,,0.0237120408564806,0.0829576700925827
33,,1563,0.027237407863140106,,,
,0.01,1564,,,,
34,,1579,,0.023825790733098984,,
34,,1599,,0.02049732394516468,,
34,,1609,,,0.020547721534967422,0.07103095203638077
34,,1609,0.025693366304039955,,,
,0.01,1610,,,,
35,,1619,,0.027216259390115738,,
35,,1639,,0.020388903096318245,,
35,,1655,,,0.01948949322104454,0.06969314068555832
35,,1655,0.02434438094496727,,,
,0.01,1656,,,,
36,,1659,,0.02152877114713192,,
36,,1679,,0.020533839240670204,,
36,,1699,,0.021144716069102287,,
36,,1701,,,0.023760413751006126,0.09296659380197525
36,,1701,0.02377685345709324,,,
,0.01,1702,,,,
37,,1719,,0.017899684607982635,,
37,,1739,,0.01935231313109398,,
37,,1747,,,0.017993388697504997,0.06867466866970062
37,,1747,0.022929655387997627,,,
,0.01,1748,,,,
38,,1759,,0.01724698767066002,,
38,,1779,,0.016090285032987595,,
38,,1793,,,0.018489835783839226,0.0804842934012413
38,,1793,0.022034717723727226,,,
,0.01,1794,,,,
39,,1799,,0.13584396243095398,,
39,,1819,,0.018262917175889015,,
39,,1839,,0.017198868095874786,,
39,,1839,,,0.015803486108779907,0.06617864221334457
39,,1839,0.020895082503557205,,,
,0.01,1840,,,,
40,,1859,,0.013792849145829678,,
40,,1879,,0.014977412298321724,,
40,,1885,,,0.015439489856362343,0.0667082667350769
40,,1885,0.019000524654984474,,,
,0.01,1886,,,,
41,,1899,,0.01533487532287836,,
41,,1919,,0.014910143800079823,,
41,,1931,,,0.015789302065968513,0.06860236078500748
41,,1931,0.01767903007566929,,,
,0.01,1932,,,,
42,,1939,,0.012297593057155609,,
42,,1959,,0.025062313303351402,,
42,,1977,,,0.024956339970231056,0.10224048048257828
42,,1977,0.017522815614938736,,,
,0.01,1978,,,,
43,,1979,,0.014658797532320023,,
43,,1999,,0.022536084055900574,,
43,,2019,,0.012549370527267456,,
43,,2023,,,0.015280590392649174,0.07182866334915161
43,,2023,0.016649756580591202,,,
,0.01,2024,,,,
44,,2039,,0.011950948275625706,,
44,,2059,,0.015446916222572327,,
44,,2069,,,0.03494906425476074,0.1391458809375763
44,,2069,0.015879351645708084,,,
,0.01,2070,,,,
45,,2079,,0.014410569332540035,,
45,,2099,,0.014151908457279205,,
45,,2115,,,0.013402818702161312,0.0643153190612793
45,,2115,0.014813639223575592,,,
,0.01,2116,,,,
46,,2119,,0.010778623633086681,,
46,,2139,,0.016851743683218956,,
46,,2159,,0.011214956641197205,,
46,,2161,,,0.012407289817929268,0.06040208786725998
46,,2161,0.015083122998476028,,,
,0.01,2162,,,,
47,,2179,,0.02336232177913189,,
47,,2199,,0.017020877450704575,,
47,,2207,,,0.015154197812080383,0.06753472983837128
47,,2207,0.020446384325623512,,,
,0.01,2208,,,,
48,,2219,,0.01717272400856018,,
48,,2239,,0.010653991252183914,,
48,,2253,,,0.01271616667509079,0.061751700937747955
48,,2253,0.016447007656097412,,,
,0.01,2254,,,,
49,,2259,,0.13944600522518158,,
49,,2279,,0.015139861963689327,,
49,,2299,,0.010633964091539383,,
49,,2299,,,0.011024454608559608,0.058050233870744705
49,,2299,0.014193767681717873,,,
