epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae,val/mse
,0.001,0,,,,,
0,,19,,0.12140490114688873,,,
0,,39,,0.09933733195066452,,,
0,,45,,,0.10382265597581863,0.10382265597581863,0.044682376086711884
0,,45,0.2152472734451294,,,,
,0.001,46,,,,,
1,,59,,0.101718470454216,,,
1,,79,,0.09775202721357346,,,
1,,91,,,0.08687392622232437,0.08687392622232437,0.04012410715222359
1,,91,0.09611328691244125,,,,
,0.001,92,,,,,
2,,99,,0.07953784614801407,,,
2,,119,,0.07906882464885712,,,
2,,137,,,0.09914400428533554,0.09914400428533554,0.04221192002296448
2,,137,0.08559262007474899,,,,
,0.001,138,,,,,
3,,139,,0.08328258246183395,,,
3,,159,,0.08553261309862137,,,
3,,179,,0.06641877442598343,,,
3,,183,,,0.0743158832192421,0.0743158832192421,0.03491222858428955
3,,183,0.07864008098840714,,,,
,0.001,184,,,,,
4,,199,,0.07499399036169052,,,
4,,219,,0.0689905658364296,,,
4,,229,,,0.07569798082113266,0.07569798082113266,0.03522637113928795
4,,229,0.07413247227668762,,,,
,0.001,230,,,,,
5,,239,,0.06792114675045013,,,
5,,259,,0.06389053165912628,,,
5,,275,,,0.06479759514331818,0.06479759514331818,0.03032887727022171
5,,275,0.06663519889116287,,,,
,0.001,276,,,,,
6,,279,,0.06754259765148163,,,
6,,299,,0.06159864366054535,,,
6,,319,,0.06452202051877975,,,
6,,321,,,0.06094294786453247,0.06094294786453247,0.0302595142275095
6,,321,0.06686712056398392,,,,
,0.001,322,,,,,
7,,339,,0.05444030463695526,,,
7,,359,,0.0654883086681366,,,
7,,367,,,0.05651835724711418,0.05651835724711418,0.028106272220611572
7,,367,0.06196032464504242,,,,
,0.001,368,,,,,
8,,379,,0.05967668816447258,,,
8,,399,,0.06381459534168243,,,
8,,413,,,0.06430836766958237,0.06430836766958237,0.02858935110270977
8,,413,0.06135450303554535,,,,
,0.001,414,,,,,
9,,419,,0.05815758556127548,,,
9,,439,,0.06311118602752686,,,
9,,459,,0.054101962596178055,,,
9,,459,,,0.05520402640104294,0.05520402640104294,0.0273202583193779
9,,459,0.058878831565380096,,,,
,0.001,460,,,,,
10,,479,,0.05290338024497032,,,
10,,499,,0.05511682108044624,,,
10,,505,,,0.05294909328222275,0.05294909328222275,0.025820698589086533
10,,505,0.05690482258796692,,,,
,0.001,506,,,,,
11,,519,,0.05544457957148552,,,
11,,539,,0.05995621159672737,,,
11,,551,,,0.05218975618481636,0.05218975618481636,0.025831690058112144
11,,551,0.057492733001708984,,,,
,0.001,552,,,,,
12,,559,,0.05819454789161682,,,
12,,579,,0.05806901678442955,,,
12,,597,,,0.05123421177268028,0.05123421177268028,0.02482459880411625
12,,597,0.055258750915527344,,,,
,0.001,598,,,,,
13,,599,,0.05146143585443497,,,
13,,619,,0.05333976820111275,,,
13,,639,,0.048968832939863205,,,
13,,643,,,0.05044647306203842,0.05044647306203842,0.025545770302414894
13,,643,0.05313743278384209,,,,
,0.001,644,,,,,
14,,659,,0.05176775902509689,,,
14,,679,,0.055346593260765076,,,
