epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae
,0.001,0,,,,
0,,19,,0.07156018912792206,,
0,,39,,0.05405745655298233,,
0,,45,,,0.04540746286511421,0.11267916858196259
0,,45,0.45718327164649963,,,
,0.001,46,,,,
1,,59,,0.04159944877028465,,
1,,79,,0.05807621777057648,,
1,,91,,,0.04472833871841431,0.10902673751115799
1,,91,0.05140501633286476,,,
,0.001,92,,,,
2,,99,,0.04728911072015762,,
2,,119,,0.0491105318069458,,
2,,137,,,0.04600818082690239,0.11104068905115128
2,,137,0.04903921112418175,,,
,0.001,138,,,,
3,,139,,0.04198511689901352,,
3,,159,,0.04503607004880905,,
3,,179,,0.040824875235557556,,
3,,183,,,0.04323409125208855,0.11037656664848328
3,,183,0.0486418791115284,,,
,0.001,184,,,,
4,,199,,0.037271395325660706,,
4,,219,,0.035275693982839584,,
4,,229,,,0.0362507626414299,0.1012817770242691
4,,229,0.04259965941309929,,,
,0.001,230,,,,
5,,239,,0.03418926149606705,,
5,,259,,0.03729856759309769,,
5,,275,,,0.033530570566654205,0.09965734928846359
5,,275,0.037469349801540375,,,
,0.001,276,,,,
6,,279,,0.024232292547822,,
6,,299,,0.02272775210440159,,
6,,319,,0.030559569597244263,,
6,,321,,,0.028602225705981255,0.09034375846385956
6,,321,0.030769461765885353,,,
,0.001,322,,,,
7,,339,,0.02383727952837944,,
7,,359,,0.026356494054198265,,
7,,367,,,0.021204326301813126,0.07941683381795883
7,,367,0.027335545048117638,,,
,0.001,368,,,,
8,,379,,0.020876629278063774,,
8,,399,,0.029951779171824455,,
8,,413,,,0.025385649874806404,0.08874275535345078
8,,413,0.025305988267064095,,,
,0.001,414,,,,
9,,419,,0.024607490748167038,,
9,,439,,0.02112549915909767,,
9,,459,,0.01768854632973671,,
9,,459,,,0.018740668892860413,0.07162732630968094
9,,459,0.023931916803121567,,,
,0.001,460,,,,
10,,479,,0.019576985388994217,,
10,,499,,0.018507691100239754,,
10,,505,,,0.01632504165172577,0.06721001118421555
10,,505,0.01859225332736969,,,
,0.001,506,,,,
11,,519,,0.02175084501504898,,
11,,539,,0.019013501703739166,,
11,,551,,,0.015969613566994667,0.06701605767011642
11,,551,0.020688114687800407,,,
,0.001,552,,,,
12,,559,,0.01991197094321251,,
12,,579,,0.019220443442463875,,
12,,597,,,0.015967996791005135,0.07310909032821655
12,,597,0.018865931779146194,,,
,0.001,598,,,,
13,,599,,0.013794216327369213,,
13,,619,,0.014299869537353516,,
13,,639,,0.02516660839319229,,
13,,643,,,0.01546049676835537,0.06997418403625488
13,,643,0.017110496759414673,,,
,0.001,644,,,,
14,,659,,0.013263128697872162,,
14,,679,,0.018696002662181854,,
14,,689,,,0.012920408509671688,0.06039029732346535
14,,689,0.015606459230184555,,,
,0.001,690,,,,
15,,699,,0.012481782585382462,,
15,,719,,0.011529243551194668,,
15,,735,,,0.014353462494909763,0.06892390549182892
15,,735,0.0139168007299304,,,
,0.001,736,,,,
16,,739,,0.01554736029356718,,
16,,759,,0.012010335922241211,,
16,,779,,0.020563306286931038,,
16,,781,,,0.03106185793876648,0.09358213096857071
16,,781,0.015357146970927715,,,
,0.001,782,,,,
17,,799,,0.015532651916146278,,
17,,819,,0.010820207186043262,,
17,,827,,,0.011027040891349316,0.055400557816028595
17,,827,0.015815045684576035,,,
,0.001,828,,,,
18,,839,,0.014778866432607174,,
