epoch,lr-AdamW,step,train/loss_step
,0.001,0,
0,,19,0.21309056878089905
0,,39,0.033800918608903885
0,,59,0.035595063120126724
0,,79,0.023399565368890762
0,,99,0.04146891459822655
0,,119,0.010031186044216156
0,,139,0.02380424551665783
0,,159,0.06135103106498718
0,,179,0.05901622027158737
0,,199,0.04411798715591431
0,,219,0.05992458388209343
0,,239,0.01033975463360548
0,,259,0.030596673488616943
0,,279,0.12022826820611954
0,,299,0.020788738504052162
0,,319,0.04278276860713959
0,,339,0.06337165832519531
0,,359,0.017436068505048752
0,,379,0.04763238504528999
0,,399,0.025827838107943535
0,,419,0.08078919351100922
0,,439,0.05055662617087364
0,,459,0.05232517421245575
0,,479,0.02688876911997795
0,,499,0.04954886808991432
0,,519,0.014304802753031254
0,,539,0.05334575101733208
0,,559,0.03589412569999695
0,,579,0.01343932468444109
0,,599,0.010224858298897743
0,,619,0.04470238462090492
0,,639,0.08223114162683487
0,,659,0.04385393485426903
0,,679,0.018606046214699745
0,,699,0.0581190288066864
