epoch,lr-AdamW,step,train/loss_epoch,train/loss_step,val/loss,val/mae
,0.001,0,,,,
0,,19,,0.04464972764253616,,
0,,39,,0.04271352291107178,,
0,,45,,,0.04752558097243309,0.11792921274900436
0,,45,0.4333004355430603,,,
,0.001,46,,,,
1,,59,,0.03957713022828102,,
1,,79,,0.0378844179213047,,
1,,91,,,0.042646296322345734,0.10340119153261185
1,,91,0.04803347587585449,,,
,0.001,92,,,,
2,,99,,0.045082803815603256,,
2,,119,,0.03711429238319397,,
2,,137,,,0.03963983803987503,0.09664008766412735
2,,137,0.0451514907181263,,,
,0.001,138,,,,
3,,139,,0.04579098895192146,,
3,,159,,0.04443145543336868,,
3,,179,,0.05331171676516533,,
3,,183,,,0.0372677780687809,0.0943150520324707
3,,183,0.04189145192503929,,,
,0.001,184,,,,
4,,199,,0.03140271455049515,,
4,,219,,0.04091821238398552,,
4,,229,,,0.1292637139558792,0.2743309438228607
4,,229,0.03819549083709717,,,
,0.001,230,,,,
5,,239,,0.03477461263537407,,
5,,259,,0.033867426216602325,,
5,,275,,,0.036372311413288116,0.09987785667181015
5,,275,0.036255691200494766,,,
,0.001,276,,,,
6,,279,,0.03591996803879738,,
6,,299,,0.03992490842938423,,
6,,319,,0.03297784551978111,,
6,,321,,,0.035041630268096924,0.09693256765604019
6,,321,0.034128814935684204,,,
,0.001,322,,,,
7,,339,,0.03215925768017769,,
7,,359,,0.031082091853022575,,
7,,367,,,0.030283723026514053,0.08583899587392807
7,,367,0.035790905356407166,,,
,0.001,368,,,,
8,,379,,0.03164554014801979,,
8,,399,,0.025346789509058,,
8,,413,,,0.03133467212319374,0.09972874075174332
8,,413,0.031603019684553146,,,
,0.001,414,,,,
9,,419,,0.028202202171087265,,
9,,439,,0.02690321020781994,,
9,,459,,0.03550361096858978,,
9,,459,,,0.029055150225758553,0.09270035475492477
9,,459,0.02960241213440895,,,
,0.001,460,,,,
10,,479,,0.03250740468502045,,
10,,499,,0.02470240741968155,,
10,,505,,,0.02784501202404499,0.08878365159034729
10,,505,0.02932608500123024,,,
,0.001,506,,,,
11,,519,,0.02514033205807209,,
11,,539,,0.02544613555073738,,
11,,551,,,0.03328705206513405,0.10908493399620056
11,,551,0.026588937267661095,,,
,0.001,552,,,,
12,,559,,0.02456536516547203,,
12,,579,,0.022800328209996223,,
12,,597,,,0.02731928601861,0.08741841465234756
12,,597,0.025191834196448326,,,
,0.001,598,,,,
13,,599,,0.024233706295490265,,
13,,619,,0.02571994811296463,,
13,,639,,0.02499287575483322,,
13,,643,,,0.08151975274085999,0.22066453099250793
13,,643,0.027958976104855537,,,
,0.001,644,,,,
14,,659,,0.02447045035660267,,
14,,679,,0.024474414065480232,,
14,,689,,,0.022115711122751236,0.08011431992053986
14,,689,0.026291966438293457,,,
,0.001,690,,,,
15,,699,,0.019212031736969948,,
15,,719,,0.02085805870592594,,
15,,735,,,0.04656575620174408,0.14361879229545593
15,,735,0.021540841087698936,,,
,0.001,736,,,,
16,,739,,0.018547212705016136,,
16,,759,,0.022811217233538628,,
16,,779,,0.02160598523914814,,
16,,781,,,0.023749670013785362,0.088267982006073
16,,781,0.023123247548937798,,,
,0.001,782,,,,
17,,799,,0.015544712543487549,,
17,,819,,0.017079738900065422,,
17,,827,,,0.022124173119664192,0.08092983812093735
17,,827,0.020175153389573097,,,
,0.001,828,,,,
18,,839,,0.017919175326824188,,
18,,859,,0.015943538397550583,,
18,,873,,,0.015661591663956642,0.06893427670001984
18,,873,0.01973862014710903,,,
,0.001,874,,,,
19,,879,,0.016390739008784294,,
19,,899,,0.018657803535461426,,
19,,919,,0.013396190479397774,,
19,,919,,,0.018785899505019188,0.0805961936712265
19,,919,0.017321884632110596,,,
,0.001,920,,,,
20,,939,,0.024571917951107025,,
20,,959,,0.016591861844062805,,
20,,965,,,0.017175069078803062,0.0766533687710762
20,,965,0.017218749970197678,,,
,0.001,966,,,,
21,,979,,0.01620890572667122,,
21,,999,,0.013765094801783562,,
21,,1011,,,0.015214546583592892,0.07219933718442917
21,,1011,0.015227602794766426,,,
,0.001,1012,,,,
22,,1019,,0.010887092910706997,,
22,,1039,,0.013151494786143303,,
22,,1057,,,0.012304195202887058,0.0611964613199234
22,,1057,0.013726177625358105,,,
,0.001,1058,,,,
23,,1059,,0.010212302207946777,,
23,,1079,,0.01619226671755314,,
23,,1099,,0.013671880587935448,,
23,,1103,,,0.015696551650762558,0.06927528232336044
23,,1103,0.014534588903188705,,,
,0.001,1104,,,,
24,,1119,,0.015109963715076447,,
24,,1139,,0.011537757702171803,,
24,,1149,,,0.012050856836140156,0.061821747571229935
24,,1149,0.01603400893509388,,,
